primary_material,recycled_percentage,dye_type,chemical_finish,manufacturing_country,shipping_distance_km,has_oeko_tex,is_fair_trade,is_b_corp,est_carbon_emission_kg,eco_score
Hemp,15,Natural,False,USA,500,True,True,True,1.2,99.8
Hemp,12,Azo-free,False,Portugal,2800,True,False,True,6.2,94.1
Hemp,0,Unknown,True,China,11000,False,False,False,16.5,72.4
Hemp,15,Natural,False,Sweden,3100,True,True,True,5.5,99.0
Hemp,2,Synthetic,False,Vietnam,9500,True,False,False,12.8,81.2
Hemp,8,Azo-free,True,USA,1500,True,True,False,8.4,85.5
Hemp,10,Natural,False,Portugal,3200,True,True,True,6.0,97.8
Hemp,5,Unknown,False,China,10500,False,True,False,15.2,78.6
Hemp,14,Azo-free,False,Sweden,2400,True,False,True,5.8,95.3
Hemp,0,Natural,True,USA,900,True,False,False,7.1,88.9
Organic Cotton,10,Natural,False,Portugal,3000,True,True,False,10.2,96.1
Organic Cotton,5,Azo-free,False,China,9000,True,False,True,15.4,88.5
Organic Cotton,15,Synthetic,True,Vietnam,11000,False,False,False,22.1,65.2
Organic Cotton,0,Natural,False,USA,1800,True,True,True,8.5,98.4
Organic Cotton,8,Unknown,False,Bangladesh,8500,True,False,False,16.8,75.3
Organic Cotton,12,Azo-free,True,Sweden,2200,True,True,True,11.2,89.7
Organic Cotton,2,Natural,False,Portugal,3500,False,True,False,11.5,86.2
Organic Cotton,14,Synthetic,False,China,10200,True,False,True,18.0,82.1
Organic Cotton,6,Azo-free,False,USA,1100,True,True,False,8.9,94.5
Organic Cotton,9,Natural,True,Vietnam,9800,False,False,False,19.3,71.8
Recycled Polyester,80,Synthetic,False,Vietnam,9000,True,False,False,18.5,72.8
Recycled Polyester,100,Azo-free,False,USA,1000,True,False,True,7.9,99.1
Recycled Polyester,65,Unknown,True,China,11500,False,False,False,24.2,45.6
Recycled Polyester,90,Natural,False,Portugal,2900,True,True,False,10.1,88.4
Recycled Polyester,55,Synthetic,False,Bangladesh,8800,True,False,False,21.5,62.3
Recycled Polyester,75,Azo-free,True,Sweden,2600,False,False,True,14.8,71.5
Recycled Polyester,85,Unknown,False,USA,1600,True,True,True,9.2,91.2
Recycled Polyester,100,Natural,True,China,10800,False,False,False,16.5,75.4
Recycled Polyester,60,Synthetic,False,Vietnam,9200,True,False,True,20.1,68.9
Recycled Polyester,95,Azo-free,False,Portugal,3400,True,True,False,9.8,92.7
Recycled Polyester,70,Natural,True,Bangladesh,9500,False,True,False,19.4,66.8
Recycled Polyester,88,Unknown,False,Sweden,2100,True,False,True,10.6,84.1
Recycled Polyester,50,Synthetic,True,China,12000,False,False,False,28.7,39.5
Recycled Polyester,100,Azo-free,False,USA,800,True,True,True,6.8,98.9
Recycled Polyester,82,Natural,False,Portugal,2800,False,False,False,11.2,78.3
Recycled Polyester,68,Synthetic,True,Vietnam,8900,True,False,False,23.1,58.4
Recycled Polyester,92,Unknown,False,Bangladesh,10100,True,True,True,17.4,85.6
Recycled Polyester,78,Azo-free,True,Sweden,3000,False,False,False,15.9,64.2
Recycled Polyester,100,Natural,False,USA,1400,True,False,True,8.1,96.5
Recycled Polyester,58,Synthetic,False,China,11200,False,True,False,25.4,54.7
Cotton,0,Natural,True,Bangladesh,10000,False,False,False,28.4,38.2
Cotton,5,Synthetic,False,China,9500,False,True,False,26.7,43.5
Cotton,12,Azo-free,False,USA,1200,True,False,True,16.5,65.4
Cotton,8,Unknown,True,Vietnam,11000,False,False,False,32.1,22.8
Cotton,15,Natural,False,Portugal,3200,True,True,False,18.2,71.3
Cotton,2,Synthetic,False,Sweden,2500,False,False,False,19.8,38.7
Cotton,10,Azo-free,True,Bangladesh,8500,True,False,False,27.5,45.6
Cotton,4,Unknown,False,China,10500,False,True,True,28.1,48.2
Cotton,14,Natural,True,USA,1900,True,True,True,19.4,75.1
Cotton,6,Synthetic,False,Vietnam,9800,False,False,False,27.3,34.5
Cotton,0,Azo-free,False,Portugal,2800,True,False,False,18.0,55.2
Cotton,11,Unknown,True,Sweden,3100,False,True,False,22.6,39.4
Cotton,9,Natural,False,Bangladesh,9200,True,True,True,25.8,70.8
Cotton,3,Synthetic,True,China,11800,False,False,False,34.5,18.5
Cotton,15,Azo-free,False,USA,900,True,False,True,15.2,68.9
Cotton,7,Unknown,False,Vietnam,10100,False,False,False,28.9,32.1
Cotton,1,Natural,True,Portugal,3600,True,True,False,23.4,56.7
Cotton,13,Synthetic,False,Sweden,2400,False,False,True,19.1,49.3
Cotton,5,Azo-free,True,Bangladesh,8900,True,False,False,28.2,42.8
Cotton,10,Natural,False,China,10900,False,True,False,27.6,58.4
Polyester,0,Synthetic,True,China,11000,False,False,False,37.5,4.1
Polyester,10,Azo-free,False,Bangladesh,8500,True,False,False,27.9,44.1
Polyester,5,Unknown,False,Vietnam,9500,False,True,False,32.4,25.8
Polyester,15,Natural,True,USA,1800,True,False,True,25.6,52.3
Polyester,2,Synthetic,False,Portugal,3200,False,False,False,25.8,18.5
Polyester,12,Azo-free,True,Sweden,2800,True,True,False,28.1,45.2
Polyester,8,Unknown,False,China,10500,False,False,True,33.2,28.7
Polyester,0,Natural,False,Bangladesh,9800,True,False,False,29.4,46.9
Polyester,14,Synthetic,True,Vietnam,11200,False,True,False,38.1,15.4
Polyester,6,Azo-free,False,USA,1200,False,False,False,21.5,35.6
Polyester,11,Unknown,True,Portugal,3500,True,False,True,30.7,38.2
Polyester,3,Natural,False,Sweden,2400,False,True,False,24.2,48.5
Polyester,9,Synthetic,False,China,9200,True,False,False,30.8,29.1
Polyester,15,Azo-free,True,Bangladesh,10100,False,False,True,35.4,36.8
Polyester,1,Unknown,False,Vietnam,8800,False,False,False,31.5,12.4
Polyester,10,Natural,True,USA,1500,True,True,False,24.9,54.7
Polyester,4,Synthetic,False,Portugal,2900,False,False,True,25.1,26.3
Polyester,13,Azo-free,False,Sweden,3100,True,False,False,24.6,45.8
Polyester,7,Unknown,True,China,11800,False,True,True,39.2,22.1
Polyester,0,Natural,False,Bangladesh,9000,False,False,False,29.0,38.5
Nylon,0,Unknown,True,China,12000,False,False,False,39.8,1.2
Nylon,12,Natural,False,USA,1000,True,True,True,23.5,65.4
Nylon,5,Synthetic,False,Vietnam,9800,False,False,False,34.2,15.8
Nylon,15,Azo-free,True,Portugal,3000,True,False,False,29.1,38.5
Nylon,2,Unknown,False,Bangladesh,8500,False,True,True,33.8,28.4
Nylon,10,Natural,True,Sweden,2500,False,False,False,31.2,35.6
Nylon,8,Synthetic,False,China,10500,True,False,True,34.9,32.1
Nylon,0,Azo-free,False,Vietnam,11000,False,False,False,33.5,29.8
Nylon,14,Unknown,True,USA,1600,True,True,False,28.4,41.2
Nylon,6,Natural,False,Portugal,3400,False,False,True,27.1,48.5
Nylon,11,Synthetic,True,Bangladesh,9200,False,True,False,38.5,18.4
Nylon,3,Azo-free,False,Sweden,2200,True,False,False,24.8,36.7
Nylon,9,Unknown,False,China,9800,False,False,False,35.1,10.5
Nylon,15,Natural,True,Vietnam,11500,True,True,True,38.2,58.9
Nylon,1,Synthetic,False,USA,1400,False,False,False,25.6,14.2
Nylon,13,Azo-free,True,Portugal,2800,False,True,True,30.4,45.1
Nylon,7,Unknown,False,Bangladesh,10200,True,False,False,34.5,22.8
Nylon,0,Natural,False,Sweden,3100,False,False,False,28.3,34.6
Nylon,10,Synthetic,True,China,11200,True,False,True,39.4,28.5
Nylon,4,Azo-free,False,Vietnam,8900,False,True,False,32.7,35.2
Cotton,7,Synthetic,False,China,10543,False,False,False,14.2,41.3
Organic Cotton,3,Natural,False,Portugal,842,True,True,False,3.1,86.7
Polyester,12,Azo-free,True,Bangladesh,9452,False,False,False,16.8,28.4
Nylon,5,Synthetic,False,Vietnam,8765,False,False,False,17.9,22.1
Hemp,2,Natural,False,USA,1234,True,True,True,2.8,92.5
Recycled Polyester,85,Azo-free,False,Sweden,654,True,False,True,6.2,78.3
Cotton,9,Unknown,True,China,11234,False,False,False,15.7,34.6
Organic Cotton,4,Natural,False,Portugal,921,True,True,False,3.4,88.1
Polyester,14,Synthetic,False,Bangladesh,9876,False,False,False,16.5,27.9
Nylon,3,Synthetic,True,Vietnam,9345,False,False,False,19.2,18.7
Hemp,1,Azo-free,False,USA,1890,True,False,True,2.9,85.3
Recycled Polyester,92,Natural,False,Sweden,432,True,True,True,5.1,91.2
Cotton,11,Synthetic,False,China,10876,False,False,False,14.8,39.8
Organic Cotton,2,Azo-free,False,Portugal,1103,True,True,False,3.0,87.4
Polyester,8,Synthetic,True,Bangladesh,9213,False,False,False,17.2,25.6
Nylon,6,Synthetic,False,Vietnam,9587,False,False,False,18.3,21.0
Hemp,0,Natural,False,USA,765,True,True,True,2.7,93.1
Recycled Polyester,88,Azo-free,False,Sweden,876,True,False,True,5.9,80.2
Cotton,10,Unknown,False,China,9987,False,False,False,14.0,43.5
Organic Cotton,5,Natural,False,Portugal,654,True,True,True,2.9,90.3
